"Key","English","Russian"
"Bonus_Destroy","Destroy Bonus","Бонус Уничтожения"
"Bonus_Move","Move Bonus","Бонус Передвижения"
"Bonus_Refresh","Refresh Bonus","Бонус Обновления"
"Bonus_Revert","Revert Bonus","Бонус Отмены"
"Bonus_Rotate","Rotate Bonus","Бонус Поворота"
"Bonus_Transform","Transform Bonus","Бонус Трансформации"
"BonusHelper_Destroy","Drag the shape onto any filled cell to remove it.","Передвиньте фигуру на любую заполненную ячейку чтобы очистить её."
"BonusHelper_Move","Select the direction in which you want the field to be moved.","Выберете направление в которое поле будет передвинуто."
"BonusHelper_Rotate","Drag your shape onto any of the zones to rotate.","Перетащите вашу фигуру на любую из зон для поворота."
"BonusHelper_Transform","Choose the shape you want to fill your hand with.","Выберете фигуру, которой вы хотите заполнить руку."
"Bundle_Ads","Disables ADs!","Выключает Рекламу!"
"Bundle_Bonus","Bonus: {0} Coins","Бонус: {0} Монет"
"Bundle_Common","Common Bundle","Обычный Набор"
"Bundle_Epic","Epic Bundle","Эпический Набор"
"Bundle_Legendary","Legendary Bundle","Легендарный Набор"
"Bundle_Price","{0} $","{0} RUB"
"Bundle_Rare","Rare Bundle","Редкий Набор"
"Bundle_Reward","{0} Coins","{0} Монет"
"Bundle_Uncommon","Uncommon Bundle","Необычный Набор"
"Collection_BrightNight","Bright Night Collection","Коллекция Яркая Ночь"
"Collection_Classic","Classic Collection","Классическая Коллекция"
"Collection_EarlyMorning","Early Morning Collection","Коллекция Раннее Утро"
"Collection_Pastel","Pastel Collection","Пастельная Коллекция"
"Collection_Saturated","Saturated Collection","Насыщенная Коллекция"
"DraggingDist_Large","Large","Большое"
"DraggingDist_Medium","Medium","Среднее"
"DraggingDist_None","None","Отсутствует"
"DraggingDist_Small","Small","Малое"
"GL_Action","Action","Действие"
"GL_EmptyTag"," "," "
"GL_GameOver","Game Over!","Игра Окончена!"
"GL_Header","Header","Заголовок"
"GL_Next","Next","Вперед"
"GL_PlayAgain","Play Again","Играть Заново"
"GL_Previous","Previous","Назад"
"GL_Return","Return","Вернуться"
"GL_Select","Select","Выбрать"
"GL_Text","Empty Text","Пустой Текст"
"Leaderboards_Classic","Leaders (Classic)","Лидеры (Классика)"
